user_id,recency_days,frequency,monetary,category_diversity,monthly_spend_1,monthly_spend_2,monthly_spend_3,monthly_spend_4,monthly_spend_5,monthly_spend_6,monthly_spend_7,monthly_spend_8,monthly_spend_9,monthly_spend_10,monthly_spend_11,monthly_spend_12,avg_transaction_size,std_transaction_size,max_transaction,transaction_trend,age,income_proxy,card_type_platinum,card_type_gold,days_as_customer
U000001,1.0,11.0,736.8,6.0,0.0,0.0,0.0,0.0,142.08,450.46000000000004,144.26,0.0,0.0,0.0,0.0,0.0,66.98181818181818,69.38386279505946,236.18,104.69999999999993,25,68289,1,0,3413
U000002,6.0,10.0,687.64,7.0,0.0,0.0,0.0,23.58,341.75,145.86,176.45,0.0,0.0,0.0,0.0,0.0,68.764,52.982137702772576,152.01,5.760000000000048,59,102832,1,0,2370
U000003,4.0,5.0,148.19,4.0,0.0,0.0,0.0,0.0,118.07,0.0,30.12,0.0,0.0,0.0,0.0,0.0,29.637999999999998,14.064477238774286,46.08,29.830000000000005,53,106294,1,0,124
U000004,18.0,3.0,129.37,2.0,0.0,0.0,0.0,0.0,0.0,72.76,56.61,0.0,0.0,0.0,0.0,0.0,43.123333333333335,15.928167921431934,56.61,78.27,42,45621,0,0,2800
U000005,1.0,8.0,157.91,6.0,0.0,0.0,0.0,24.1,83.73,4.53,45.55,0.0,0.0,0.0,0.0,0.0,19.73875,13.105713516848835,39.63,21.510000000000005,42,56905,0,1,1366
U000006,12.0,4.0,65.32000000000001,3.0,0.0,0.0,0.0,0.0,0.0,31.700000000000003,33.620000000000005,0.0,0.0,0.0,0.0,0.0,16.330000000000002,10.182249260355002,25.6,1.9200000000000017,63,69174,0,1,1226
U000007,16.0,9.0,914.92,6.0,0.0,0.0,0.0,0.0,342.1,101.2,471.62,0.0,0.0,0.0,0.0,0.0,101.65777777777777,132.9639190511638,436.02,201.45999999999992,25,36775,0,0,1021
U000008,33.0,5.0,233.23,4.0,0.0,0.0,0.0,0.0,98.42,134.81,0.0,0.0,0.0,0.0,0.0,0.0,46.646,19.7274727220696,61.66,36.39,55,100815,1,0,1819
U000009,38.0,9.0,173.54,6.0,0.0,0.0,0.0,73.19999999999999,51.190000000000005,49.15,0.0,0.0,0.0,0.0,0.0,0.0,19.28222222222222,14.559060561878448,45.3,-22.379999999999995,31,49558,0,1,976
U000010,16.0,4.0,126.7,3.0,0.0,0.0,0.0,25.95,0.0,90.27,10.48,0.0,0.0,0.0,0.0,0.0,31.675,18.274555170144815,54.01,-33.22,25,49697,0,1,544
U000011,49.0,5.0,84.59,2.0,0.0,0.0,0.0,48.5,31.09,5.0,0.0,0.0,0.0,0.0,0.0,0.0,16.918,18.522860740177258,48.5,-16.950000000000003,47,59639,0,0,950
U000012,35.0,2.0,54.62,2.0,0.0,0.0,0.0,26.99,0.0,27.63,0.0,0.0,0.0,0.0,0.0,0.0,27.31,0.4525483399593908,27.63,0.6400000000000006,69,57707,0,0,2366
U000013,37.0,5.0,183.28,4.0,0.0,0.0,0.0,0.0,113.61999999999999,69.66,0.0,0.0,0.0,0.0,0.0,0.0,36.656,21.28069853176817,69.66,57.6,57,92737,1,0,1252
U000014,16.0,3.0,57.88,3.0,0.0,0.0,0.0,0.0,0.0,9.790000000000001,48.09,0.0,0.0,0.0,0.0,0.0,19.293333333333333,25.02235067561266,48.09,44.00000000000001,59,58143,0,0,2013
U000015,6.0,4.0,86.69,2.0,0.0,0.0,0.0,0.0,0.0,44.129999999999995,42.56,0.0,0.0,0.0,0.0,0.0,21.6725,4.510080376223909,27.24,-1.5699999999999932,56,51605,0,0,884
U000016,14.0,6.0,276.52000000000004,5.0,0.0,0.0,0.0,13.59,84.18,87.57000000000001,91.18,0.0,0.0,0.0,0.0,0.0,46.08666666666667,28.66736867357496,84.18,-32.70000000000002,60,70932,0,1,442
U000017,3.0,8.0,388.02,5.0,0.0,0.0,0.0,47.629999999999995,93.7,204.62,42.07,0.0,0.0,0.0,0.0,0.0,48.5025,45.016873582500786,137.78,-170.20000000000002,46,73556,0,1,2917
U000018,3.0,8.0,175.78,7.0,0.0,0.0,0.0,0.0,63.16,77.66,34.96,0.0,0.0,0.0,0.0,0.0,21.9725,11.875926129299199,48.67,-47.88000000000001,27,26615,0,0,3449
U000019,5.0,3.0,63.69,3.0,0.0,0.0,0.0,14.42,0.0,10.66,38.61,0.0,0.0,0.0,0.0,0.0,21.23,15.168477181312568,38.61,34.849999999999994,62,52577,0,0,1074
U000020,1.0,7.0,215.38,4.0,0.0,0.0,0.0,0.0,67.84,43.17,104.36999999999999,0.0,0.0,0.0,0.0,0.0,30.768571428571427,24.364516158115013,77.32,30.379999999999995,43,78176,0,1,3244
U000021,25.0,3.0,63.85,2.0,0.0,0.0,0.0,0.0,0.0,63.85,0.0,0.0,0.0,0.0,0.0,0.0,21.283333333333335,15.434216317433593,39.07,-14.29,46,117257,1,0,2512
U000022,14.0,5.0,98.45,4.0,0.0,0.0,0.0,35.24,20.21,5.78,37.22,0.0,0.0,0.0,0.0,0.0,19.69,10.466226636185556,35.24,-12.450000000000003,39,32493,0,0,1154
U000023,42.0,2.0,89.96000000000001,1.0,0.0,0.0,0.0,0.0,61.57,28.39,0.0,0.0,0.0,0.0,0.0,0.0,44.980000000000004,23.461802999769645,61.57,-33.18,30,51076,0,1,1519
U000024,22.0,4.0,439.94000000000005,3.0,0.0,0.0,0.0,0.0,32.99,371.32000000000005,35.63,0.0,0.0,0.0,0.0,0.0,109.98500000000001,160.37030013898044,350.35,-326.74,67,65142,0,0,2409
U000025,9.0,5.0,198.08,5.0,0.0,0.0,0.0,18.44,88.61000000000001,57.25,33.78,0.0,0.0,0.0,0.0,0.0,39.616,26.783598152600785,76.18,8.840000000000003,60,66056,0,1,2355
U000026,18.0,5.0,307.69,4.0,0.0,0.0,0.0,0.0,167.14,110.99,29.56,0.0,0.0,0.0,0.0,0.0,61.538,43.76845633558488,110.99,43.22999999999999,53,75077,0,1,3186
U000027,44.0,2.0,260.73,2.0,0.0,0.0,0.0,0.0,251.05,9.68,0.0,0.0,0.0,0.0,0.0,0.0,130.365,170.67436377499698,251.05,-241.37,41,107377,1,0,1868
U000028,42.0,5.0,121.07,3.0,0.0,0.0,0.0,0.0,103.32,17.75,0.0,0.0,0.0,0.0,0.0,0.0,24.214,13.436016150630364,41.51,26.85000000000001,62,70277,0,1,610
U000029,4.0,7.0,162.08,5.0,0.0,0.0,0.0,0.0,74.08,66.68,21.32,0.0,0.0,0.0,0.0,0.0,23.154285714285717,21.261269840677326,56.44,7.579999999999998,48,52289,0,0,110
U000030,1.0,8.0,188.23,5.0,0.0,0.0,0.0,0.0,38.19,57.489999999999995,92.55,0.0,0.0,0.0,0.0,0.0,23.52875,15.147152903150761,50.12,-33.91000000000001,43,39499,0,0,1691
U000031,4.0,6.0,295.94,5.0,0.0,0.0,0.0,0.0,233.09,0.0,62.85,0.0,0.0,0.0,0.0,0.0,49.32333333333333,37.64319947436279,118.97,149.98000000000002,43,75290,0,1,1376
U000032,1.0,7.0,141.97,5.0,0.0,0.0,0.0,14.12,44.660000000000004,0.0,83.19,0.0,0.0,0.0,0.0,0.0,20.28142857142857,15.341921249277995,49.02,24.409999999999997,32,25589,0,0,2402
